driver,Drive,Stimulus,Fase,Heart.Rate_mean,Perinasal.Perspiration_mean,Breathing.Rate_mean,Time_max,Palm.EDA_mean,Risultato_HR,Risultato_PP,Risultato_BR
T043,7,0,fase1_Drive7,83.15068493150685,0.006215083602739726,16.078082191780823,0:01:13,157.96616164383562,-1.47244432019383,-0.0006802967469201381,0.6267896747740185
T043,7,5,fase2_Drive7,86.05732484076434,0.006942723936305732,17.204458598726113,0:03:50,190.40884203821656,1.4341955890636626,4.7343586645868206e-05,1.7531660817193089
T043,7,0,fase3_Drive7,82.4574898785425,0.0063796286680161945,15.51255060728745,0:07:57,227.79875870445346,-2.1656393731581716,-0.0005157516816436695,0.06125809028064566
T043,7,5,fase4_Drive7,86.56050955414013,0.006920402318471338,17.220382165605095,0:10:34,287.9892203821656,1.9373803024394505,2.5021968811473824e-05,1.7690896485982908
T043,7,0,fase5_Drive7,82.33103448275862,0.006340678593103448,12.750344827586206,0:12:59,333.15102137931035,-2.29209476894205,-0.0005547017565564159,-2.700947689420598
T044,4,0,loaded_drive_ND_Drive4,85.88341968911917,0.004831395786269429,17.451295336787563,0:12:52,99.09998251295336,,,
T044,5,0,fase1_Drive5,86.75308641975309,0.00540142237037037,18.707407407407405,0:01:21,78.69636172839506,0.8696667306339236,0.0005700265841009407,1.2561120706198423
T044,5,1,fase2_Drive5,87.23417721518987,0.006429642132911392,19.667721518987342,0:03:59,76.20590506329114,1.3507575260707085,0.0015982463466419627,2.216426182199779
T044,5,0,fase3_Drive5,86.3304721030043,0.005298560424892703,16.72875536480687,0:07:52,84.48938841201716,0.4470524138851317,0.000467164638623274,-0.7225399719806944
T044,5,1,fase4_Drive5,88.27810650887574,0.0074535897928994085,19.19585798816568,0:10:41,97.59997337278105,2.394686819756572,0.002622194006629979,1.7445626513781178
T044,5,0,fase5_Drive5,84.352,0.007073273312,16.2104,0:12:46,99.64544319999999,-1.5314196891191614,0.002241877525730571,-1.2408953367875633
T044,6,0,fase1_Drive6,83.76635514018692,0.005058774598130841,15.397196261682243,0:01:47,116.7643046728972,-2.117064548932248,0.00022737881186141173,-2.05409907510532
T044,6,3,fase2_Drive6,87.35443037974683,0.006135703272151899,18.34240506329114,0:04:25,104.47703037974684,1.471010690627665,0.0013043074858824699,0.8911097265035757
T044,6,0,fase3_Drive6,85.79372197309416,0.005065983874439462,16.137219730941705,0:08:08,83.52126412556055,-0.08969771602500032,0.0002345880881700329,-1.3140756058458578
T044,6,3,fase4_Drive6,86.49333333333334,0.005712589079999999,17.856,0:10:38,73.88745066666667,0.6099136442141742,0.00088119329373057,0.4047046632124385
T044,6,0,fase5_Drive6,86.3157894736842,0.005131124781954888,14.943609022556391,0:12:51,79.64636165413533,0.43236978456504005,0.00029972899568545854,-2.5076863142311723
T044,7,0,fase1_Drive7,86.525,0.0046914199375,19.3825,0:01:20,100.48397125,0.6415803108808404,-0.0001399758487694294,1.9312046632124371
T044,7,5,fase2_Drive7,90.85806451612903,0.005808092180645161,21.69806451612903,0:03:55,103.74981419354839,4.974644827009868,0.0009766963943757317,4.246769179341467
T044,7,0,fase3_Drive7,87.40140845070422,0.004388616091549296,18.521830985915493,0:08:39,102.96633169014085,1.517988761585059,-0.00044277969472013377,1.0705356491279296
T044,7,5,fase4_Drive7,89.5448717948718,0.005509776384615385,20.164102564102564,0:11:15,119.61737756410257,3.6614521057526304,0.0006783805983459554,2.7128072273150003
T044,7,0,fase5_Drive7,87.08465608465609,0.004911984941798941,18.927513227513227,0:14:24,112.02789417989419,1.2012363955369239,8.058915552951185e-05,1.476217890725664
T045,4,0,loaded_drive_ND_Drive4,69.8,0.0053783461150326796,14.257254901960783,0:12:45,109.31751816993464,,,
T045,5,0,fase1_Drive5,68.90666666666667,0.005487153506666667,14.062666666666667,0:01:15,95.21847066666666,-0.8933333333333309,0.00010880739163398722,-0.19458823529411617
T045,5,1,fase2_Drive5,73.04268292682927,0.0056520047012195125,14.973170731707317,0:03:59,93.42151158536585,3.242682926829275,0.000273658586186833,0.7159158297465336
T045,5,0,fase3_Drive5,68.55897435897435,0.0054228136615384614,12.838461538461539,0:07:14,82.62108615384615,-1.2410256410256437,4.446754650578189e-05,-1.418793363499244
T045,5,1,fase4_Drive5,71.6,0.005381931205128206,15.09025641025641,0:10:29,92.64500461538462,1.7999999999999972,3.5850900955260515e-06,0.8330015082956272
T045,5,0,fase5_Drive5,71.40259740259741,0.0052463745584415584,11.877922077922078,0:11:46,102.26571558441559,1.6025974025974108,-0.0001319715565911211,-2.3793328240387055
T045,6,0,fase1_Drive6,69.31764705882352,0.0054300497999999996,12.983529411764705,0:01:25,92.92786235294118,-0.4823529411764724,5.170368496732001e-05,-1.2737254901960782
T045,6,3,fase2_Drive6,70.65853658536585,0.005538870835365853,14.0,0:04:09,101.87374756097562,0.8585365853658544,0.00016052472033317375,-0.25725490196078304
T045,6,0,fase3_Drive6,67.08510638297872,0.005252735357446809,12.646382978723405,0:08:04,102.8068229787234,-2.714893617021275,-0.00012561075758587073,-1.6108719232373776
T045,6,3,fase4_Drive6,70.54601226993866,0.00570000709202454,13.826380368098159,0:10:47,112.61882576687117,0.7460122699386602,0.00032166097699186033,-0.43087453386262453
T045,6,0,fase5_Drive6,68.07,0.00555074525,11.892000000000001,0:12:27,123.327148,-1.730000000000004,0.00017239913496732047,-2.365254901960782
T045,7,0,fase1_Drive7,73.2875,0.005145577375,12.934999999999999,0:01:20,75.63425875,3.487499999999997,-0.00023276874003267962,-1.3222549019607843
T045,7,5,fase2_Drive7,74.36875,0.00612080539375,14.998750000000001,0:04:00,96.99649375,4.5687500000000085,0.0007424592787173201,0.7414950980392181
T045,7,0,fase3_Drive7,70.6875,0.00513314423828125,13.47890625,0:08:16,89.26186484375,0.8875000000000028,-0.0002452018767514297,-0.7783486519607834
T045,7,5,fase4_Drive7,72.55882352941177,0.005737221929411764,15.10705882352941,0:11:06,90.75979882352942,2.758823529411771,0.0003588758143790848,0.8498039215686273
T045,7,0,fase5_Drive7,69.7125,0.005192346025,14.10875,0:12:26,88.74716375,-0.08749999999999147,-0.00018600009003267963,-0.14850490196078248
T047,4,0,loaded_drive_ND_Drive4,85.56565656565657,0.0062671168510101015,17.01439393939394,0:13:12,96.42669128787878,,,
